country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",30-03-2025 05:00,16.5150833,80.5181667,NO2,9,27,18
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",30-03-2025 05:00,14.675886,77.593027,NH3,6,19,10
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",30-03-2025 05:00,14.675886,77.593027,CO,8,14,11
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",30-03-2025 05:00,13.20488,79.097889,NO2,15,20,17
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",30-03-2025 05:00,13.20488,79.097889,NH3,3,5,4
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",30-03-2025 05:00,14.465052,78.824187,PM2.5,30,235,98
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",30-03-2025 05:00,14.465052,78.824187,CO,32,35,33
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",30-03-2025 05:00,16.9872867,81.7363176,PM10,61,101,83
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)",30-03-2025 05:00,13.67,79.35,PM2.5,61,126,95
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)",30-03-2025 05:00,13.67,79.35,NO2,14,37,23
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",30-03-2025 05:00,26.071318,91.87488,CO,22,64,50
India,Assam,Guwahati,"IITG, Guwahati - PCBA",30-03-2025 05:00,26.2028636,91.70046436,PM2.5,85,227,133
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",30-03-2025 05:00,26.10887,91.589544,NO2,14,22,19
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",30-03-2025 05:00,26.10887,91.589544,SO2,9,12,11
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",30-03-2025 05:00,26.10887,91.589544,CO,24,61,41
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",30-03-2025 05:00,26.10887,91.589544,OZONE,14,19,16
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",30-03-2025 05:00,26.181742,91.78063,NO2,3,4,3
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",30-03-2025 05:00,26.349082,92.68449,PM10,82,137,100
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",30-03-2025 05:00,26.349082,92.68449,SO2,3,41,16
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",30-03-2025 05:00,26.446912,91.439057,NO2,NA,NA,NA
